Dise No.,Rural / Urban,Year,Block Code,Block Name,Village Code,Village Name,Zonal Office,CRC Code,CRC No.,Pin Code,School Name,School Status Code,School Status,Management Code,Management Name,Category Code,Category Name,School Type Code,School Type Name,Lowest Class,Highest Class,Medium Code,Medium,Pre Primary Boys,Pre Primary Girls,Pre Primary Total,1 Boys,1 Girls,1 Total,2 Boys,2 Girls,2 Total,3 Boys,3 Girls,3 Total,4 Boys,4 Girls,4 Total,5 Boys,5 Girls,5 Total,6 Boys,6 Girls,6 Total,7 Boys,7 Girls,7 Total,8 Boys,8 Girls,8 Total,9 Boys,9 Girls,9 Total,10 Boys,10 Girls,10 Total,11 Boys,11 Girls,11 Total,12 Boys,12 Girls,12 Total,1_5 Boys,1_5 Girls,1_5 Total,6_8 Boys,6_8 Girls,6_8 Total,1_8 Boys,1_8 Girls,1_8 Total,9_12 Boys,9_12 Girls,9_12 Total,1_12 Boys,1_12 Girls,1_12 Total
27251400306,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,DR BABASAHEB AMBEDKAR VID,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,51,45,12,57,30,15,45,0,0,0,0,0,0,0,0,0,41,10,51,41,10,51,75,27,102,116,37,153
27251400307,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,NEW INDIA ENG MEDIUM PRI,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,334,362,696,99,73,172,93,97,190,94,108,202,84,102,186,92,94,186,86,83,169,52,68,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,474,936,138,151,289,600,625,1225,0,0,0,600,625,1225
27251400308,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,NEW INDIA ENG MEDIUM SEC,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,45,106,48,51,99,40,33,73,0,0,0,0,0,0,0,0,0,61,45,106,61,45,106,88,84,172,149,129,278
27251400309,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411021,DHANIRAJ HIGHSCHOOL,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22,11,4,15,5,2,7,0,0,0,0,0,0,0,0,0,13,9,22,13,9,22,16,6,22,29,15,44
27251400310,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411021,BAVDHAN PRI,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,95,65,160,33,24,57,30,21,51,24,23,47,42,16,58,15,16,31,13,9,22,13,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,100,244,26,17,43,170,117,287,0,0,0,170,117,287
27251400401,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140009,Aundh CRC No. 9,411038,PMC 128 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,40,31,71,32,30,62,31,50,81,37,43,80,42,45,87,58,41,99,35,29,64,41,32,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,209,409,76,61,137,276,270,546,0,0,0,276,270,546
27251400402,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140006,Aundh CRC No. 6,411038,SARASWATI VIDYA MANDIR SEC,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,37,134,75,28,103,70,12,82,0,0,0,0,0,0,0,0,0,97,37,134,97,37,134,145,40,185,242,77,319
27251400403,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140006,Aundh CRC No. 6,411038,PUNE BLIND GIRLS SCHOOL,0,Operational,11,Social Welfare Aided,1,Primary,3,Co-Education,1,4,10,Marathi,1,23,24,1,11,12,0,10,10,0,13,13,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,41,0,0,0,1,40,41,0,0,0,1,40,41
27251400404,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140006,Aundh CRC No. 6,411038,MAHESH VIDYALAYA,0,Operational,19,Unaided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26,58,23,22,45,28,16,44,0,0,0,0,0,0,0,0,0,32,26,58,32,26,58,51,38,89,83,64,147
27251400405,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140006,Aundh CRC No. 6,411038,MAHESH VIDYALYA PRIMARY MAR,0,Operational,19,Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,78,63,141,26,24,50,25,24,49,30,15,45,31,26,57,35,13,48,23,18,41,31,17,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,102,249,54,35,89,201,137,338,0,0,0,201,137,338
27251400406,Urban,2012-13,272514,Aundh,272514004,DAHANUKAR COLONY,Warje - Karve Nagar,2725140006,Aundh CRC No. 6,411038,MAHESH VIDYALAY ENG MEDIAM,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,142,117,259,43,37,80,43,43,86,43,34,77,20,29,49,24,16,40,21,19,40,6,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,159,332,27,32,59,200,191,391,0,0,0,200,191,391
